generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,161.8796,105.0576,0.154846,8.093291,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,152.2956,116.3568,0.155676,8.136018,0.112267,303.3015,0.137697,7.233207,0.1525
2,gen1 samples,152.8478,117.9523,0.155879,8.139659,0.093325,306.4418,0.139738,7.29854,0.193
3,gen2 samples,150.3316,119.3286,0.155177,8.119496,0.120607,307.904,0.137976,7.277689,0.2471
4,gen3 samples,152.9125,118.1285,0.15565,8.118215,0.084728,301.1517,0.141627,7.415429,0.2129
5,gen4 samples,147.703,119.7683,0.15561,8.131184,0.148983,285.3709,0.138452,7.318877,0.2052
6,gen5 samples,149.3273,119.7711,0.155759,8.125741,0.147889,313.2223,0.136058,7.169645,0.2386
7,gen6 samples,152.5753,120.025,0.155091,8.098042,0.161122,338.3595,0.1376,7.215721,0.2666
8,gen7 samples,152.5702,118.7516,0.155192,8.106944,0.089206,324.2148,0.134734,7.118731,0.2131
9,gen8 samples,153.3933,118.1363,0.155158,8.105068,0.085682,306.3964,0.139017,7.255838,0.2037
10,gen9 samples,151.5774,118.1775,0.155311,8.113339,0.096156,296.5495,0.138724,7.293742,0.1955
11,gen10 samples,151.1454,117.8668,0.154643,8.108575,0.088102,287.1595,0.138939,7.341007,0.1978
12,gen11 samples,153.7078,117.8227,0.154979,8.097642,0.083201,315.0133,0.136205,7.163363,0.2083
13,gen12 samples,150.9469,119.0137,0.155673,8.11918,0.110614,306.1106,0.137683,7.263466,0.2006
14,gen13 samples,148.8986,118.8391,0.155428,8.124909,0.111577,286.4635,0.139959,7.351742,0.1914
15,gen14 samples,149.8446,118.0006,0.155616,8.130095,0.084383,272.387,0.140118,7.382105,0.2006
16,gen15 samples,147.8104,119.1769,0.155851,8.130985,0.131291,283.2771,0.139799,7.362211,0.1904
17,gen16 samples,146.4515,120.1967,0.155748,8.136416,0.1429,269.1561,0.138021,7.241671,0.2265
18,gen17 samples,148.7837,122.2033,0.155306,8.125303,0.130084,278.0898,0.141427,7.47096,0.2333
19,gen18 samples,154.9784,118.003,0.155211,8.111261,0.082998,344.3285,0.135003,7.096685,0.2323
20,gen19 samples,155.1638,117.8642,0.155568,8.128649,0.114542,352.7139,0.136543,7.177948,0.2474
21,gen20 samples,151.5731,118.4149,0.156093,8.151161,0.090595,305.2498,0.141873,7.423106,0.1933
22,gen21 samples,147.7875,119.7345,0.155557,8.130137,0.141819,279.3804,0.139422,7.355787,0.2226
23,gen22 samples,150.103,120.7335,0.155928,8.129262,0.156232,299.6537,0.141496,7.37776,0.2489
24,gen23 samples,147.4407,120.169,0.155565,8.142461,0.128508,278.4272,0.138645,7.323779,0.2098
25,gen24 samples,147.8242,120.4824,0.15602,8.159988,0.140313,282.3804,0.14104,7.41008,0.2325
26,gen25 samples,149.1076,119.8141,0.155654,8.139331,0.118237,288.3834,0.139034,7.320798,0.2047
27,gen26 samples,150.0572,119.7383,0.154983,8.11628,0.093952,305.4801,0.138253,7.282403,0.1925
28,gen27 samples,149.2475,120.6925,0.155565,8.125051,0.12356,307.0771,0.135863,7.183019,0.2018
29,gen28 samples,152.5136,119.3126,0.155045,8.103726,0.0846,320.2717,0.13445,7.094001,0.1979
30,gen29 samples,152.0032,118.1352,0.155157,8.115644,0.084591,302.9955,0.138137,7.280436,0.1858
31,gen30 samples,156.981,115.152,0.155149,8.107755,0.103449,357.7503,0.135993,7.149056,0.2666
32,gen31 samples,153.258,116.8733,0.155232,8.116206,0.122875,329.7273,0.138737,7.271079,0.2237
33,gen32 samples,152.0039,117.4692,0.155475,8.11976,0.087672,303.1799,0.138463,7.280998,0.1871
34,gen33 samples,153.0683,117.4234,0.155255,8.122993,0.083631,312.8926,0.139613,7.300576,0.1999
35,gen34 samples,148.3229,119.6864,0.155924,8.146165,0.145592,290.4865,0.13868,7.300287,0.2186
36,gen35 samples,152.1474,117.6573,0.155155,8.105021,0.118031,316.11,0.139778,7.33183,0.2294
37,gen36 samples,152.7153,118.5949,0.15567,8.122557,0.160123,352.4703,0.135022,7.107621,0.2499
38,gen37 samples,151.6318,122.0991,0.156408,8.151148,0.133253,328.6699,0.13901,7.259205,0.2531
39,gen38 samples,152.756,124.6462,0.155848,8.129279,0.077001,317.8145,0.142143,7.416616,0.2603
