generation,w_from_gen0
0,0.0
1,0.0963
2,0.1171
3,0.1162
4,0.1357
5,0.1215
6,0.1285
7,0.1222
8,0.0942
9,0.1196
10,0.1201
11,0.1216
12,0.1247
13,0.127
14,0.1461
15,0.1519
16,0.1339
17,0.1251
18,0.1305
19,0.1147
20,0.1125
21,0.1133
22,0.1134
23,0.1095
24,0.1231
25,0.1294
26,0.1403
27,0.1188
28,0.1399
29,0.1212
