generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,163.2299,105.0576,0.159975,8.308846,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,164.3838,136.3778,0.161788,8.392218,0.07168,363.0367,0.136232,7.169714,0.331
2,gen1 samples,161.2334,145.8687,0.162527,8.424525,0.124077,344.6914,0.137902,7.243571,0.3717
3,gen2 samples,161.722,144.2169,0.163168,8.443524,0.075575,341.3439,0.14095,7.365309,0.3943
4,gen3 samples,163.1562,141.0634,0.162716,8.433302,0.081794,346.9329,0.141279,7.426716,0.4076
5,gen4 samples,164.8174,141.616,0.162841,8.429514,0.072965,362.0607,0.139252,7.281939,0.4021
6,gen5 samples,164.5624,140.1797,0.162532,8.430951,0.076617,358.442,0.139744,7.330064,0.3973
7,gen6 samples,165.6089,141.9916,0.162022,8.38377,0.06951,372.6231,0.136072,7.080714,0.3974
8,gen7 samples,163.6832,139.3285,0.162855,8.43303,0.085591,351.8176,0.141508,7.385141,0.3673
9,gen8 samples,166.0621,141.1128,0.162408,8.409324,0.080759,373.8956,0.138183,7.210316,0.3888
10,gen9 samples,163.7874,142.2292,0.162523,8.411935,0.072062,360.7168,0.137801,7.201559,0.4316
11,gen10 samples,164.9725,142.6076,0.162531,8.416927,0.070758,360.5864,0.139791,7.324151,0.4071
12,gen11 samples,163.5054,141.0451,0.162573,8.427283,0.075558,358.1166,0.138044,7.29017,0.3717
13,gen12 samples,163.4065,140.7527,0.162624,8.430403,0.077021,357.9578,0.139826,7.338351,0.3791
14,gen13 samples,160.0201,147.4736,0.162552,8.421005,0.074558,330.8032,0.139309,7.317248,0.3723
15,gen14 samples,163.0797,142.4221,0.162194,8.396722,0.069704,348.2711,0.138011,7.207192,0.3977
16,gen15 samples,162.5458,140.8156,0.163087,8.445256,0.071148,348.3861,0.141336,7.411297,0.4141
17,gen16 samples,163.7892,141.3043,0.16232,8.408336,0.070442,353.0295,0.137213,7.211529,0.3852
18,gen17 samples,164.9333,140.9248,0.162384,8.414278,0.07309,364.6689,0.140221,7.358012,0.4011
19,gen18 samples,165.3054,142.4596,0.162322,8.399816,0.080169,360.8083,0.136601,7.162452,0.4005
20,gen19 samples,163.9061,142.7308,0.162438,8.410255,0.06933,347.3785,0.138168,7.207295,0.3595
21,gen20 samples,162.6423,142.4842,0.162531,8.422198,0.076239,349.5787,0.138968,7.296155,0.3886
22,gen21 samples,163.1536,142.2485,0.162278,8.413892,0.073682,350.404,0.137509,7.217678,0.3798
23,gen22 samples,163.1455,142.4465,0.162428,8.417989,0.070614,353.7792,0.137958,7.230291,0.3979
24,gen23 samples,162.6929,143.1768,0.162792,8.432494,0.071403,353.7461,0.139652,7.34446,0.4067
25,gen24 samples,164.1761,140.6045,0.162446,8.410697,0.069873,359.4285,0.138261,7.231,0.3749
26,gen25 samples,165.3725,141.0693,0.161835,8.384421,0.08251,369.4723,0.136959,7.141997,0.3682
27,gen26 samples,164.7598,141.1805,0.162613,8.415073,0.069707,369.981,0.139021,7.227455,0.3448
28,gen27 samples,159.9788,148.088,0.162702,8.423141,0.080688,327.9165,0.140518,7.349637,0.4135
29,gen28 samples,162.5388,141.9672,0.162697,8.425705,0.06951,341.9076,0.13844,7.251645,0.3935
30,gen29 samples,165.2559,142.7721,0.162401,8.410208,0.078599,353.1939,0.139253,7.295258,0.4291
31,gen30 samples,162.4769,140.6283,0.163084,8.446731,0.084239,349.1141,0.141735,7.403382,0.3736
32,gen31 samples,162.7287,140.2386,0.162638,8.414555,0.069969,349.7993,0.138961,7.259684,0.4326
33,gen32 samples,162.0268,145.6595,0.16257,8.426799,0.096114,343.9986,0.140025,7.34999,0.41
34,gen33 samples,160.3591,148.0932,0.162511,8.424162,0.065125,326.9112,0.139637,7.327981,0.3744
35,gen34 samples,159.9816,148.6932,0.162792,8.436562,0.08047,326.106,0.141759,7.45481,0.3895
36,gen35 samples,163.2131,139.2442,0.162578,8.419015,0.076055,353.2488,0.140034,7.352596,0.3889
37,gen36 samples,163.4175,141.7131,0.162629,8.414435,0.086334,351.8101,0.138566,7.254318,0.4122
38,gen37 samples,160.7366,147.1685,0.162955,8.433053,0.078186,336.8157,0.141037,7.388271,0.3742
39,gen38 samples,162.3023,140.523,0.162728,8.429049,0.069266,345.9677,0.140327,7.351773,0.3556
