generation,source,test_recon,sample_pixel_std,mean_pairwise_l2,latent_std_mean,raw_pixel_std,raw_pairwise_l2
0,real,0.01364,0.234834,10.025112,0.08379,0.234834,10.025112
1,gen0 samples,0.01585,0.216891,9.327482,0.061799,0.216891,9.327482
2,gen1 samples,0.017759,0.211933,9.205267,0.058536,0.211933,9.205267
3,gen2 samples,0.018712,0.198542,8.708534,0.056969,0.198542,8.708534
4,gen3 samples,0.019734,0.188901,8.406868,0.050893,0.188901,8.406868
