generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,165.6797,105.0576,0.155601,8.110339,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,154.2915,116.9405,0.157796,8.206849,0.101743,312.8965,0.138773,7.264063,0.1754
2,gen1 samples,146.6438,119.3024,0.158275,8.237662,0.144371,275.5374,0.142112,7.43616,0.2229
3,gen2 samples,146.1361,119.9557,0.158583,8.255646,0.144737,267.0576,0.142794,7.486452,0.2405
4,gen3 samples,148.8942,119.9201,0.159075,8.274827,0.092244,280.9156,0.144645,7.567415,0.2376
5,gen4 samples,148.6076,119.6129,0.158309,8.242032,0.128915,274.4606,0.141598,7.432304,0.2324
6,gen5 samples,148.0644,121.7655,0.15863,8.261749,0.128641,280.8553,0.143432,7.526141,0.237
7,gen6 samples,148.7388,120.6371,0.159062,8.266072,0.134368,282.3174,0.144701,7.543501,0.219
8,gen7 samples,149.137,120.7188,0.158352,8.246737,0.136282,277.9707,0.143843,7.532112,0.2192
9,gen8 samples,151.6005,118.2974,0.158378,8.236892,0.083499,285.3304,0.143783,7.473687,0.1875
10,gen9 samples,152.0989,118.2541,0.15782,8.22177,0.088468,285.7805,0.139908,7.341932,0.1998
11,gen10 samples,148.1365,119.9666,0.15809,8.238832,0.145499,282.0155,0.139546,7.350882,0.2218
12,gen11 samples,154.8989,118.1167,0.157702,8.199474,0.082631,296.6363,0.139213,7.288964,0.204
13,gen12 samples,150.237,119.2167,0.15852,8.250487,0.149054,294.0503,0.141811,7.435345,0.2123
14,gen13 samples,150.1954,123.2488,0.158846,8.263477,0.093098,288.6483,0.143065,7.473447,0.2288
15,gen14 samples,149.7636,121.4657,0.159138,8.263139,0.12989,282.2759,0.143155,7.461406,0.2233
16,gen15 samples,153.0249,123.5913,0.158521,8.242176,0.077532,300.3848,0.142861,7.475689,0.2411
17,gen16 samples,149.1004,121.1411,0.158921,8.268592,0.131675,284.433,0.144416,7.542292,0.2141
18,gen17 samples,154.3947,118.6194,0.158487,8.23632,0.081614,306.7207,0.142921,7.478842,0.1884
19,gen18 samples,151.9321,119.5451,0.158115,8.218635,0.148799,300.3803,0.140172,7.34981,0.2114
20,gen19 samples,152.9069,120.6687,0.158693,8.243913,0.134628,303.8874,0.141787,7.380872,0.2285
21,gen20 samples,153.5464,122.8812,0.15847,8.248584,0.096616,308.4204,0.142832,7.476507,0.2199
22,gen21 samples,150.8132,123.6922,0.158545,8.24659,0.086295,294.5063,0.144395,7.548142,0.2172
23,gen22 samples,153.9582,122.5288,0.158128,8.229773,0.109965,304.763,0.143006,7.45045,0.2263
24,gen23 samples,153.0404,120.634,0.158592,8.245408,0.121138,305.3177,0.145294,7.570204,0.2176
25,gen24 samples,154.2927,121.717,0.15815,8.220269,0.122312,317.6878,0.138449,7.225226,0.2237
26,gen25 samples,151.8047,118.8426,0.158525,8.259439,0.089734,297.2729,0.143705,7.545175,0.1934
27,gen26 samples,151.7884,120.2538,0.158647,8.249226,0.138376,296.7438,0.142675,7.453207,0.2114
28,gen27 samples,151.0515,123.3789,0.159115,8.263085,0.07508,291.1962,0.144618,7.52836,0.2071
29,gen28 samples,152.3162,121.6573,0.158933,8.262763,0.11878,303.7958,0.142586,7.453818,0.2087
30,gen29 samples,152.4017,123.5196,0.158591,8.257329,0.080621,302.3421,0.143457,7.519738,0.2098
31,gen30 samples,149.7802,120.6772,0.158343,8.248143,0.135439,285.7581,0.144269,7.538093,0.219
32,gen31 samples,159.1116,118.4967,0.156998,8.177896,0.083327,324.6248,0.137563,7.208842,0.2075
33,gen32 samples,151.8777,118.5262,0.158151,8.223369,0.087134,294.6739,0.14163,7.406442,0.1922
34,gen33 samples,154.4901,117.8753,0.157968,8.225238,0.112597,302.1725,0.141948,7.424566,0.1876
35,gen34 samples,149.6698,119.2432,0.158125,8.231939,0.155799,290.4401,0.140329,7.371802,0.2076
36,gen35 samples,148.4663,120.3856,0.157761,8.228579,0.127478,284.494,0.140437,7.392315,0.2329
37,gen36 samples,148.1212,123.611,0.159011,8.278684,0.098062,277.8932,0.144393,7.576334,0.2282
38,gen37 samples,152.9748,118.5637,0.157473,8.193672,0.085515,291.7178,0.138644,7.250923,0.1914
39,gen38 samples,150.4319,119.2203,0.158109,8.241444,0.118417,286.2647,0.141463,7.441142,0.212
