generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,221.7388,105.0576,0.150251,7.833214,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,212.031,115.4374,0.154183,7.984694,0.136532,351.0426,0.136502,7.131303,0.1906
2,gen1 samples,199.4133,117.6728,0.160095,8.234554,0.096506,327.5224,0.143326,7.405736,0.2314
3,gen2 samples,191.0813,119.9652,0.16203,8.299863,0.160483,311.4832,0.144171,7.411799,0.3062
4,gen3 samples,191.2196,125.6747,0.166773,8.534419,0.070013,296.9528,0.152655,7.823214,0.3886
5,gen4 samples,184.6221,127.3151,0.169854,8.698331,0.06969,274.6595,0.156933,8.056759,0.4429
6,gen5 samples,187.9135,127.7491,0.171292,8.772735,0.069933,271.7654,0.158454,8.144027,0.4908
7,gen6 samples,193.1161,128.1929,0.171485,8.782023,0.071286,274.4223,0.159609,8.202385,0.5372
8,gen7 samples,200.2449,128.8598,0.172336,8.824324,0.074325,282.5202,0.161577,8.290499,0.5748
9,gen8 samples,229.897,125.7918,0.17055,8.728629,0.082054,323.7625,0.159673,8.183035,0.5567
10,gen9 samples,230.2145,127.4738,0.169975,8.731382,0.126447,331.843,0.157022,8.098578,0.5952
11,gen10 samples,224.6522,129.5038,0.17204,8.829859,0.077608,319.4457,0.160259,8.244749,0.6218
12,gen11 samples,223.9769,130.6231,0.172951,8.854349,0.072481,312.2921,0.161324,8.272781,0.6541
13,gen12 samples,230.8518,130.9199,0.171168,8.804186,0.073937,316.2275,0.160843,8.302135,0.6871
14,gen13 samples,232.4817,131.7247,0.17296,8.87525,0.075527,318.284,0.162249,8.354437,0.7054
15,gen14 samples,234.5898,132.0917,0.173309,8.890307,0.074691,320.0013,0.162901,8.376601,0.7297
16,gen15 samples,251.416,127.352,0.168714,8.673912,0.080987,350.6408,0.157282,8.09206,0.657
17,gen16 samples,269.5488,126.4735,0.169441,8.644178,0.081272,374.6139,0.157017,8.018668,0.649
18,gen17 samples,269.4993,126.9666,0.16844,8.630913,0.08156,381.0698,0.156642,8.026979,0.6213
19,gen18 samples,278.3222,126.4774,0.166924,8.506163,0.081177,392.3411,0.154555,7.877705,0.6172
20,gen19 samples,279.4663,127.594,0.16648,8.46211,0.085074,398.3938,0.153151,7.79268,0.6037
21,gen20 samples,280.7012,128.9339,0.16731,8.540263,0.096466,405.2265,0.154403,7.874043,0.6031
22,gen21 samples,263.3328,131.011,0.168736,8.595702,0.114075,383.8486,0.155258,7.899923,0.6098
23,gen22 samples,252.3324,132.2624,0.170131,8.676137,0.070248,357.6603,0.157159,8.014317,0.6397
24,gen23 samples,249.4187,132.2877,0.172715,8.816344,0.072136,351.0683,0.161807,8.263851,0.6554
25,gen24 samples,248.7818,132.0548,0.1726,8.833513,0.073293,350.2073,0.160625,8.234204,0.6721
26,gen25 samples,246.0021,131.2984,0.171216,8.784238,0.080636,345.6572,0.160235,8.232217,0.6853
27,gen26 samples,261.5236,127.8702,0.1694,8.672462,0.080205,367.8202,0.157761,8.09693,0.6616
28,gen27 samples,263.4452,127.45,0.167937,8.592541,0.082566,375.2628,0.155481,7.960814,0.6397
29,gen28 samples,264.1898,128.6588,0.167028,8.554042,0.131898,379.6346,0.152957,7.837204,0.6327
30,gen29 samples,257.9253,130.4979,0.170169,8.721538,0.07101,368.98,0.157327,8.079394,0.6464
31,gen30 samples,259.3413,131.1037,0.169744,8.699333,0.070764,364.1427,0.15732,8.072685,0.675
32,gen31 samples,255.1105,130.842,0.171188,8.765035,0.0767,357.4357,0.1586,8.132706,0.6921
33,gen32 samples,257.0146,131.9188,0.173642,8.894283,0.071476,355.538,0.163112,8.368054,0.7039
34,gen33 samples,251.5352,131.4909,0.172398,8.814295,0.071861,348.5715,0.161421,8.266912,0.7132
35,gen34 samples,258.1322,132.1877,0.171965,8.807765,0.07355,355.2876,0.160883,8.27207,0.7378
36,gen35 samples,249.5336,131.7531,0.173748,8.902331,0.073673,343.5994,0.163479,8.400022,0.7443
37,gen36 samples,264.201,127.8158,0.170207,8.678435,0.080651,367.2116,0.159016,8.107231,0.6697
38,gen37 samples,267.1049,126.6797,0.168704,8.599089,0.081138,381.08,0.156896,8.00119,0.6414
39,gen38 samples,273.6743,128.0089,0.169747,8.642393,0.139784,397.4741,0.156352,7.968241,0.6197
