generation,data_source,train_seconds,best_test_neg_elbo,test_recon,test_kl,fid,active_units,feature_variance,real_feature_variance,mean_pairwise_feat_dist,real_mean_pairwise_feat_dist,class_entropy,real_class_entropy,class_kl,pixel_std_mean,real_pixel_std_mean,pixel_mean_l1
0,folder,157.3,501.42974853515625,492.3757629394531,9.089126586914062,64.21083068847656,20,45.225449411225526,85.76473594331344,9.014575958251953,12.631623268127441,1.5532427541518687,2.288500974513306,0.7813461295444379,0.14725077152252197,0.2108895480632782,0.005214443430304527
1,runs/experiment1\gen0\synthetic_data.npz,23.6,502.851806640625,495.57305908203125,7.359533786773682,76.50724792480469,13,36.90658861943741,85.76473594331344,8.104107856750488,12.631623268127441,1.455055996390128,2.288500974513306,0.8830878019655704,0.1315169483423233,0.2108895480632782,0.004017021507024765
2,runs/experiment1\gen1\synthetic_data.npz,23.6,504.5788879394531,499.0364990234375,5.5776824951171875,86.41019439697266,5,31.140830696947088,85.76473594331344,7.357550621032715,12.631623268127441,1.4055101940513837,2.288500974513306,0.9394271414764487,0.11738812178373337,0.2108895480632782,0.004307139664888382
3,runs/experiment1\gen2\synthetic_data.npz,22.4,505.4839782714844,500.3056945800781,5.821506977081299,89.99459838867188,5,29.636991316087897,85.76473594331344,7.116584300994873,12.631623268127441,1.3635573298349721,2.288500974513306,0.9855058563605736,0.11426802724599838,0.2108895480632782,0.004409118089824915
4,runs/experiment1\gen3\synthetic_data.npz,23.6,506.542236328125,501.63018798828125,5.22332239151001,97.97814178466797,4,25.077010820664047,85.76473594331344,6.460085868835449,12.631623268127441,1.2940545734605973,2.288500974513306,1.0573993368628143,0.10544069111347198,0.2108895480632782,0.006282819900661707
5,runs/experiment1\gen4\synthetic_data.npz,23.7,507.8938903808594,504.3592529296875,4.2615461349487305,106.80852508544922,3,20.499654059726907,85.76473594331344,5.7537617683410645,12.631623268127441,1.2065173727801917,2.288500974513306,1.1365784064209463,0.09565814584493637,0.2108895480632782,0.005558696109801531
6,runs/experiment1\gen5\synthetic_data.npz,23.9,508.60015869140625,504.4667053222656,4.133456230163574,111.5588150024414,3,18.659609749664334,85.76473594331344,5.384697437286377,12.631623268127441,1.0867771497699938,2.288500974513306,1.2519557258876837,0.09227291494607925,0.2108895480632782,0.004465950187295675
7,runs/experiment1\gen6\synthetic_data.npz,24.4,510.7825622558594,507.4576416015625,3.4621517658233643,119.91148376464844,8,15.97683697283593,85.76473594331344,4.794867992401123,12.631623268127441,0.9401552527204164,2.288500974513306,1.3894695655136986,0.08735090494155884,0.2108895480632782,0.004318723455071449
8,runs/experiment1\gen7\synthetic_data.npz,24.4,512.4070434570312,510.27410888671875,2.53210711479187,127.64766693115234,1,13.956640498798464,85.76473594331344,4.348586559295654,12.631623268127441,0.7426541625699135,2.288500974513306,1.6067066626301405,0.08203640580177307,0.2108895480632782,0.006256787106394768
9,runs/experiment1\gen8\synthetic_data.npz,23.9,512.2921142578125,510.56781005859375,2.2610764503479004,128.35321044921875,1,13.356546134580139,85.76473594331344,4.238649368286133,12.631623268127441,0.7240879360982784,2.288500974513306,1.6259633983479835,0.08056213706731796,0.2108895480632782,0.006370884831994772
