generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,189.0952,105.0576,0.152341,7.954281,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,178.8092,114.3348,0.15613,8.097966,0.124813,340.0356,0.138619,7.239583,0.1741
2,gen1 samples,161.2109,117.8486,0.157174,8.161919,0.118677,301.3844,0.140488,7.337528,0.1969
3,gen2 samples,161.8842,117.7203,0.159049,8.252419,0.084648,288.2941,0.145726,7.587101,0.2014
4,gen3 samples,161.6078,117.9041,0.159143,8.246576,0.088982,280.8114,0.145767,7.591505,0.2221
5,gen4 samples,155.0868,119.2869,0.159657,8.288684,0.137121,274.7103,0.147097,7.664957,0.2274
6,gen5 samples,153.1521,120.2135,0.159246,8.291013,0.131028,265.772,0.145874,7.654229,0.2525
7,gen6 samples,166.8697,119.6208,0.158998,8.236616,0.081119,297.4448,0.145304,7.538785,0.2261
8,gen7 samples,158.1178,120.8481,0.158491,8.229574,0.134658,282.1302,0.145042,7.555114,0.2547
9,gen8 samples,155.504,122.5692,0.15818,8.231602,0.109644,273.3221,0.144194,7.55508,0.2648
10,gen9 samples,167.4101,121.281,0.157453,8.178742,0.080632,302.498,0.143065,7.448144,0.239
11,gen10 samples,162.9675,121.4084,0.158073,8.21217,0.137378,299.1843,0.143612,7.48695,0.2579
12,gen11 samples,157.3398,124.6978,0.15996,8.281641,0.075702,277.8233,0.147879,7.682886,0.2806
13,gen12 samples,160.9895,125.2233,0.160277,8.296747,0.072475,280.3199,0.149114,7.756516,0.2708
14,gen13 samples,164.1052,124.9482,0.160397,8.324561,0.08818,289.1366,0.149494,7.811564,0.2903
15,gen14 samples,166.1145,122.7602,0.158931,8.230255,0.118973,303.4173,0.14561,7.56512,0.2638
16,gen15 samples,164.7688,124.4626,0.159404,8.280958,0.076962,298.651,0.147391,7.687259,0.2674
17,gen16 samples,169.7688,125.0642,0.157516,8.194019,0.076563,309.9845,0.144181,7.536752,0.2534
18,gen17 samples,172.3991,123.8874,0.158474,8.216887,0.099999,322.3913,0.145599,7.575986,0.2568
19,gen18 samples,180.1281,122.1209,0.157406,8.164709,0.097907,353.8754,0.142805,7.420812,0.2588
20,gen19 samples,182.7422,123.888,0.157482,8.184179,0.072221,355.7688,0.143266,7.495629,0.2723
21,gen20 samples,182.8,124.6018,0.156703,8.131565,0.081861,356.3262,0.142922,7.389761,0.2775
22,gen21 samples,179.1321,124.3942,0.157713,8.179747,0.073009,342.4616,0.143679,7.468071,0.27
23,gen22 samples,179.9598,123.9901,0.157592,8.170421,0.08412,344.9236,0.14394,7.486319,0.2782
24,gen23 samples,177.6717,124.9492,0.157722,8.187901,0.071781,337.4891,0.144499,7.531607,0.2682
25,gen24 samples,176.9465,124.8276,0.156449,8.130312,0.079149,338.9832,0.142428,7.432121,0.2687
26,gen25 samples,176.0874,120.2027,0.156312,8.133491,0.083949,333.368,0.140325,7.350242,0.2407
27,gen26 samples,172.3546,121.1631,0.156068,8.10729,0.135376,328.7931,0.14011,7.282854,0.2448
28,gen27 samples,170.5747,123.4041,0.156035,8.128306,0.090156,316.402,0.140735,7.369717,0.2306
29,gen28 samples,173.7875,121.4993,0.156315,8.125912,0.080773,324.3914,0.140591,7.348005,0.2337
30,gen29 samples,173.6826,124.0903,0.156349,8.121034,0.075032,324.4292,0.141912,7.397968,0.2388
31,gen30 samples,174.761,124.0342,0.156703,8.125772,0.079104,325.2072,0.141211,7.34863,0.2457
32,gen31 samples,177.9389,125.1509,0.157429,8.17079,0.071293,331.8847,0.144578,7.536496,0.2474
33,gen32 samples,176.756,124.9875,0.156452,8.127601,0.075753,330.4448,0.14283,7.438875,0.2575
34,gen33 samples,173.5523,125.6519,0.157143,8.161293,0.076044,326.8006,0.143198,7.476101,0.2516
35,gen34 samples,176.5523,124.1453,0.158187,8.204277,0.098961,331.1154,0.14663,7.664031,0.2666
36,gen35 samples,174.3405,124.6384,0.157582,8.20155,0.07157,326.4268,0.143542,7.530862,0.2481
37,gen36 samples,179.6969,124.6064,0.157641,8.188345,0.071805,339.9757,0.144165,7.518693,0.2556
38,gen37 samples,179.7482,124.0882,0.156911,8.143629,0.09031,347.6983,0.142175,7.423921,0.2744
39,gen38 samples,179.9434,124.0411,0.156863,8.160549,0.09358,349.2963,0.142517,7.464612,0.2816
