generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,186.2332,105.0576,0.157218,8.174123,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,189.8104,151.6579,0.159148,8.235136,0.059717,373.6671,0.131531,6.868639,0.3971
2,gen1 samples,191.1691,160.3341,0.159536,8.252705,0.054644,375.8358,0.135309,7.004112,0.412
3,gen2 samples,189.7168,161.9094,0.159317,8.247517,0.058402,364.7936,0.134112,7.016127,0.4446
4,gen3 samples,187.8275,168.5439,0.159866,8.275288,0.090532,344.8668,0.136445,7.149417,0.4494
5,gen4 samples,188.7933,162.3169,0.15962,8.261406,0.05536,351.1968,0.135008,7.082617,0.4265
6,gen5 samples,187.6193,167.2328,0.160388,8.292836,0.091024,343.1402,0.139695,7.283916,0.4329
7,gen6 samples,188.9292,161.1825,0.159925,8.274491,0.057114,346.9688,0.13787,7.216254,0.437
8,gen7 samples,189.5005,158.6928,0.159714,8.267305,0.05521,355.9254,0.136182,7.111205,0.3801
9,gen8 samples,188.55,159.37,0.1593,8.248405,0.058709,348.4219,0.134664,7.088987,0.4847
10,gen9 samples,192.817,157.6825,0.15924,8.239651,0.05471,384.2128,0.132837,6.934457,0.4006
11,gen10 samples,194.7908,159.8068,0.159409,8.240891,0.055258,402.1502,0.134913,6.925156,0.4021
12,gen11 samples,191.4516,157.846,0.159255,8.240677,0.056287,374.1965,0.132804,6.93624,0.415
13,gen12 samples,186.9277,166.0354,0.160115,8.284154,0.088492,343.5751,0.136911,7.163598,0.4006
14,gen13 samples,187.4226,166.08,0.159931,8.272314,0.057584,336.7075,0.137935,7.209547,0.4326
15,gen14 samples,192.1402,159.4889,0.159375,8.244429,0.056194,374.9536,0.133033,6.925657,0.4063
16,gen15 samples,188.5765,164.0396,0.159984,8.277747,0.055466,348.8514,0.137258,7.178108,0.4294
17,gen16 samples,187.8532,161.0635,0.159773,8.265097,0.054778,340.9634,0.135782,7.108463,0.4175
18,gen17 samples,191.2483,160.2579,0.160209,8.285069,0.05443,370.6393,0.139836,7.23242,0.3911
19,gen18 samples,188.5425,167.214,0.159727,8.254793,0.080466,349.7477,0.136796,7.115667,0.4324
20,gen19 samples,191.0658,154.0884,0.159381,8.246288,0.065247,382.8595,0.132367,6.918301,0.414
21,gen20 samples,189.3659,159.1999,0.15977,8.268753,0.055083,355.6964,0.135546,7.106619,0.454
22,gen21 samples,188.9991,160.8975,0.159425,8.25144,0.055239,353.1534,0.132103,6.91629,0.4117
23,gen22 samples,188.8639,161.1025,0.160139,8.290388,0.055863,354.9391,0.137932,7.208053,0.4243
24,gen23 samples,192.1447,159.0507,0.159133,8.237222,0.056154,375.5812,0.135322,7.015795,0.4347
25,gen24 samples,190.2505,158.8124,0.159609,8.256935,0.05699,363.1694,0.134146,7.006116,0.4301
26,gen25 samples,192.125,157.8782,0.159317,8.244142,0.054695,375.7138,0.133449,6.975231,0.3935
27,gen26 samples,191.6295,158.5691,0.159799,8.268215,0.056693,370.9415,0.136782,7.153712,0.4095
28,gen27 samples,187.7577,167.6623,0.160203,8.286477,0.077404,337.44,0.13913,7.26777,0.4402
29,gen28 samples,189.5779,157.6876,0.158884,8.240513,0.063439,366.9628,0.131454,6.928077,0.4195
30,gen29 samples,192.7462,154.5732,0.159091,8.240689,0.064081,396.5043,0.131896,6.91834,0.4642
31,gen30 samples,191.625,158.3869,0.15909,8.24334,0.056023,380.3879,0.133092,6.985345,0.4221
32,gen31 samples,190.9864,160.8166,0.159601,8.257479,0.053587,369.2049,0.135017,7.054048,0.3988
33,gen32 samples,193.4271,158.1001,0.159188,8.250512,0.056627,382.5495,0.134653,7.066381,0.4033
34,gen33 samples,192.4011,159.4468,0.159476,8.249473,0.054792,385.1973,0.134789,7.041187,0.3935
35,gen34 samples,190.8071,157.4118,0.159077,8.234951,0.056139,378.3642,0.133826,6.981649,0.3986
36,gen35 samples,187.7626,168.6265,0.159878,8.273678,0.071408,340.9679,0.13655,7.153839,0.4402
37,gen36 samples,192.0466,158.4792,0.158861,8.23064,0.054711,379.6051,0.132728,6.939252,0.396
38,gen37 samples,193.7128,158.8533,0.159456,8.241692,0.054969,393.5219,0.132698,6.935986,0.3974
39,gen38 samples,191.2343,160.5926,0.159499,8.246915,0.058841,364.9823,0.1347,7.047957,0.4276
