generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2
0,real,187.7515,98.4314,0.149348,7.985934,0.141999,226.4743,0.141543,7.696871
1,gen0 samples,203.7304,107.6617,0.152811,8.087873,0.090933,307.5253,0.139192,7.425066
2,gen1 samples,203.8927,109.8215,0.151177,7.982007,0.148641,312.8953,0.137185,7.292548
3,gen2 samples,204.6467,113.5932,0.154554,8.13397,0.077989,308.7769,0.141644,7.488687
4,gen3 samples,205.3574,114.1637,0.15577,8.183432,0.077071,303.6787,0.143123,7.54687
5,gen4 samples,209.6385,114.6239,0.156036,8.213715,0.077232,304.5529,0.143767,7.596854
6,gen5 samples,211.2535,114.9909,0.160885,8.406931,0.077087,301.0957,0.148445,7.784312
7,gen6 samples,211.2897,115.4023,0.15998,8.373922,0.077441,299.5168,0.147829,7.75629
8,gen7 samples,218.2269,115.9646,0.164698,8.57813,0.079151,303.5524,0.152165,7.952926
9,gen8 samples,222.6547,116.2769,0.166299,8.643025,0.078993,306.4807,0.154243,8.030324
10,gen9 samples,229.3743,117.6593,0.166742,8.663333,0.091553,313.5164,0.154378,8.045362
11,gen10 samples,226.8228,125.5593,0.166341,8.629097,0.071689,309.6248,0.153156,7.956506
12,gen11 samples,230.3138,128.0459,0.169019,8.788405,0.066495,303.0175,0.156816,8.177207
13,gen12 samples,240.7691,128.6694,0.171563,8.885654,0.066574,308.8741,0.160627,8.325484
14,gen13 samples,244.316,129.1592,0.171221,8.882847,0.066724,312.4018,0.160246,8.320896
15,gen14 samples,248.1181,130.5573,0.172351,8.952746,0.067168,314.9487,0.162481,8.458024
16,gen15 samples,244.016,131.4531,0.171937,8.957096,0.067182,310.164,0.162404,8.475268
17,gen16 samples,249.1743,132.6455,0.171695,8.910356,0.067923,313.3611,0.161774,8.404168
18,gen17 samples,252.9429,133.5991,0.171871,8.917456,0.068288,316.4351,0.162413,8.430695
19,gen18 samples,256.7538,134.2467,0.171699,8.958359,0.070663,320.0771,0.162739,8.497883
20,gen19 samples,263.2626,134.8754,0.172764,8.98175,0.06828,326.194,0.163218,8.507273
21,gen20 samples,268.8708,135.4787,0.172306,8.968616,0.068574,331.0406,0.163269,8.521143
22,gen21 samples,281.9505,131.6326,0.169846,8.88786,0.076414,349.2268,0.159935,8.383556
23,gen22 samples,291.0208,130.4096,0.167208,8.721355,0.076724,358.6021,0.156664,8.184052
24,gen23 samples,301.2997,130.757,0.168122,8.761836,0.077725,373.3502,0.157376,8.20961
25,gen24 samples,303.5871,133.5987,0.168277,8.75483,0.123077,375.4124,0.157344,8.209087
26,gen25 samples,306.4409,137.1287,0.169396,8.841207,0.066699,375.5991,0.15881,8.318833
27,gen26 samples,309.1604,137.8949,0.168939,8.80735,0.067031,374.4107,0.159425,8.328585
28,gen27 samples,307.3302,138.0897,0.171156,8.922918,0.068181,372.0282,0.162617,8.487141
29,gen28 samples,306.8298,138.7191,0.171197,8.925182,0.066867,368.3356,0.162628,8.495131
30,gen29 samples,308.0523,139.4561,0.169547,8.805076,0.066569,368.5473,0.160487,8.353161
31,gen30 samples,305.2067,139.0566,0.170199,8.853392,0.071311,366.0351,0.160716,8.393396
32,gen31 samples,320.1807,135.4377,0.167551,8.723534,0.075994,387.611,0.156985,8.201324
33,gen32 samples,323.5396,138.0988,0.167464,8.731408,0.10424,390.0157,0.157731,8.24035
34,gen33 samples,321.0137,140.8215,0.16849,8.786204,0.066282,385.1658,0.158791,8.305951
35,gen34 samples,314.8352,140.9428,0.169712,8.832591,0.066637,377.1463,0.160303,8.362729
36,gen35 samples,325.113,137.4005,0.166305,8.656596,0.076005,393.5908,0.156093,8.141267
37,gen36 samples,329.4177,139.698,0.16655,8.688085,0.098438,397.4146,0.156509,8.193213
38,gen37 samples,326.984,141.533,0.167233,8.72317,0.066523,392.0466,0.15729,8.230306
39,gen38 samples,325.9737,142.0542,0.1687,8.80149,0.065291,390.887,0.159399,8.343166
40,gen39 samples,323.0218,141.6872,0.171182,8.893159,0.065911,387.6045,0.162213,8.455654
41,gen40 samples,323.5591,141.3722,0.168815,8.763857,0.066753,387.3343,0.159491,8.294237
42,gen41 samples,322.8993,141.6064,0.169611,8.819918,0.066168,385.4731,0.160549,8.378016
43,gen42 samples,317.1984,141.5588,0.168454,8.766154,0.065917,380.5276,0.159755,8.333809
44,gen43 samples,329.1072,137.5404,0.167489,8.701098,0.075744,399.1423,0.157706,8.196987
45,gen44 samples,328.5656,140.6357,0.164766,8.607388,0.069902,398.2088,0.154518,8.094867
46,gen45 samples,325.2509,141.7013,0.166959,8.69454,0.06527,393.7259,0.15721,8.201686
47,gen46 samples,317.617,142.1124,0.166514,8.694134,0.066697,384.9381,0.156936,8.222528
48,gen47 samples,316.4424,142.188,0.168718,8.782564,0.06557,381.172,0.159718,8.330541
49,gen48 samples,319.0317,142.2529,0.167798,8.725454,0.066605,383.0639,0.1583,8.255526
