generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,162.9078,105.0576,0.154991,8.088998,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,152.2633,116.1888,0.158302,8.257957,0.095436,315.9442,0.139365,7.323895,0.1652
2,gen1 samples,151.4477,116.2507,0.156872,8.199477,0.083049,290.0301,0.145075,7.573029,0.1597
3,gen2 samples,151.5042,116.4093,0.156132,8.161641,0.082422,286.6585,0.140887,7.410154,0.182
4,gen3 samples,146.9093,116.7947,0.156489,8.200078,0.090317,277.4904,0.143428,7.505263,0.1818
5,gen4 samples,151.8795,116.4145,0.155028,8.105331,0.084167,281.4895,0.141096,7.3898,0.1731
6,gen5 samples,148.9264,117.1126,0.157115,8.195447,0.0964,286.2191,0.142485,7.446146,0.1775
7,gen6 samples,153.4208,116.5557,0.157529,8.222833,0.083716,297.1234,0.141788,7.438933,0.1856
8,gen7 samples,149.7283,117.1549,0.157742,8.236777,0.093872,283.9773,0.140599,7.373742,0.1897
9,gen8 samples,153.7179,116.0656,0.156136,8.15426,0.084376,298.7007,0.138939,7.278309,0.1819
10,gen9 samples,149.6701,116.0683,0.156108,8.155418,0.084461,290.3994,0.139309,7.287767,0.1872
11,gen10 samples,154.284,116.1552,0.157956,8.23174,0.083083,310.5564,0.140208,7.308629,0.1786
12,gen11 samples,154.7303,115.3011,0.156547,8.176653,0.133005,329.7407,0.13775,7.214545,0.2095
13,gen12 samples,153.2984,115.2921,0.157303,8.192246,0.137114,311.0668,0.142827,7.481881,0.2022
14,gen13 samples,151.5856,118.6889,0.156229,8.133203,0.174194,326.8909,0.138275,7.222274,0.2299
15,gen14 samples,156.0423,116.5062,0.156883,8.195523,0.113921,311.0887,0.1403,7.333712,0.1968
16,gen15 samples,152.9853,116.7875,0.157786,8.216913,0.0867,306.5422,0.142844,7.465757,0.197
17,gen16 samples,150.1069,116.0783,0.157143,8.203018,0.088667,290.9564,0.143012,7.472388,0.1726
18,gen17 samples,151.6058,116.5897,0.155854,8.143992,0.088351,297.2597,0.140105,7.316713,0.2088
19,gen18 samples,148.7204,116.9992,0.156559,8.160298,0.104766,282.1201,0.139427,7.315884,0.2267
20,gen19 samples,153.2142,117.9976,0.15802,8.213909,0.164051,318.8084,0.1413,7.352037,0.2483
21,gen20 samples,150.6982,118.4207,0.157771,8.262209,0.13818,306.6664,0.14019,7.347405,0.2074
22,gen21 samples,154.3304,116.8562,0.157203,8.193976,0.086427,304.2405,0.140527,7.337363,0.216
23,gen22 samples,150.5549,118.2047,0.156083,8.136822,0.144623,317.8508,0.139461,7.252645,0.2502
24,gen23 samples,152.9864,119.0826,0.157247,8.180223,0.14755,315.9211,0.140742,7.327011,0.2506
25,gen24 samples,153.8096,116.621,0.155809,8.128055,0.127606,312.8749,0.141206,7.402431,0.214
26,gen25 samples,155.7293,115.7805,0.157297,8.213845,0.122066,307.2207,0.142012,7.440954,0.1782
27,gen26 samples,154.5044,116.7987,0.156978,8.177723,0.088249,307.1757,0.14292,7.473685,0.213
28,gen27 samples,158.0654,116.2279,0.157154,8.172608,0.09413,326.3775,0.141605,7.3818,0.2006
29,gen28 samples,155.6819,116.1938,0.157664,8.200646,0.08571,317.871,0.141981,7.422709,0.2039
30,gen29 samples,150.9895,116.8305,0.157109,8.217993,0.094199,294.0629,0.14305,7.508094,0.1974
31,gen30 samples,146.7649,116.1193,0.156731,8.155156,0.144636,289.5106,0.140533,7.33234,0.2088
32,gen31 samples,147.336,117.6453,0.157978,8.22334,0.104492,277.9055,0.14343,7.454207,0.2024
33,gen32 samples,151.8869,116.5219,0.156585,8.186699,0.090713,294.2198,0.140601,7.345721,0.1959
34,gen33 samples,151.6542,116.4584,0.157411,8.1997,0.092701,300.6157,0.142192,7.415521,0.1925
35,gen34 samples,148.6208,116.756,0.157199,8.210581,0.090925,276.342,0.140864,7.371739,0.1904
36,gen35 samples,151.9199,116.9685,0.155235,8.124954,0.093271,304.4649,0.142305,7.446016,0.2192
37,gen36 samples,150.5695,116.789,0.156701,8.172838,0.094516,278.0565,0.141202,7.417601,0.2194
38,gen37 samples,149.9438,117.0062,0.156146,8.12673,0.099918,283.5565,0.144151,7.51205,0.257
39,gen38 samples,150.696,116.3321,0.157077,8.203517,0.085859,295.0939,0.138713,7.312482,0.1672
