generation,w_from_gen0
0,0.0
1,0.0846
2,0.11
3,0.108
4,0.1083
5,0.1088
6,0.1337
7,0.1441
8,0.1317
9,0.1189
10,0.1184
11,0.1145
12,0.1256
13,0.1099
14,0.1125
15,0.1087
16,0.1156
17,0.1131
18,0.1044
19,0.1017
20,0.1194
21,0.1098
22,0.1103
23,0.112
24,0.1172
25,0.1184
26,0.1171
27,0.1195
28,0.1311
29,0.1318
