generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,174.5892,105.0576,0.153552,8.022098,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,159.6933,116.2174,0.156204,8.140803,0.11783,315.2514,0.137717,7.244391,0.1497
2,gen1 samples,157.313,116.9592,0.156,8.134402,0.082895,290.1282,0.141329,7.390898,0.1634
3,gen2 samples,151.9709,118.1461,0.156368,8.1421,0.129016,279.5262,0.140224,7.348838,0.1809
4,gen3 samples,150.1503,119.8277,0.156264,8.15387,0.146068,271.9067,0.139787,7.375276,0.2229
5,gen4 samples,147.7844,122.3356,0.157622,8.212002,0.112516,259.4647,0.144284,7.573431,0.2532
6,gen5 samples,156.6098,118.9655,0.155549,8.112782,0.081694,290.9166,0.139327,7.330952,0.2035
7,gen6 samples,155.6848,119.924,0.155544,8.126866,0.106897,304.1078,0.138146,7.272913,0.2558
8,gen7 samples,157.943,121.0794,0.156682,8.134764,0.156548,329.5281,0.139984,7.27352,0.2991
9,gen8 samples,158.2021,121.2604,0.156616,8.126534,0.122044,315.1841,0.141284,7.327141,0.2648
10,gen9 samples,163.2897,118.205,0.156106,8.12342,0.083473,323.6735,0.140152,7.332096,0.2284
11,gen10 samples,154.1829,118.7268,0.156367,8.1368,0.105386,294.5284,0.140234,7.334179,0.2056
12,gen11 samples,154.6099,120.6894,0.155858,8.120438,0.14926,298.9879,0.13949,7.302892,0.2569
13,gen12 samples,150.5416,122.4786,0.155803,8.125843,0.117804,277.3973,0.142034,7.439149,0.2334
14,gen13 samples,152.8875,122.0695,0.156086,8.132996,0.101142,280.1587,0.140144,7.374356,0.2279
15,gen14 samples,154.1762,123.0058,0.15599,8.135879,0.109063,287.79,0.140767,7.365851,0.2499
16,gen15 samples,163.6312,120.9355,0.155731,8.124433,0.096749,324.3776,0.139741,7.348074,0.256
17,gen16 samples,159.197,121.4312,0.156083,8.13447,0.13318,322.1597,0.140535,7.345502,0.2362
18,gen17 samples,156.2887,121.0887,0.156431,8.142699,0.103759,307.6201,0.140936,7.38718,0.2171
19,gen18 samples,154.7043,121.351,0.155957,8.109857,0.132884,293.9462,0.138724,7.270422,0.211
20,gen19 samples,161.0656,119.7567,0.155587,8.099401,0.085097,319.3541,0.139434,7.293938,0.2273
21,gen20 samples,154.3829,120.4111,0.156222,8.141001,0.128862,295.5816,0.139876,7.342056,0.2186
22,gen21 samples,152.7384,121.6218,0.156478,8.160914,0.128765,284.0091,0.141008,7.4293,0.2246
23,gen22 samples,155.9003,122.9279,0.156485,8.160232,0.113109,291.1343,0.142238,7.47534,0.2197
24,gen23 samples,158.6968,123.5801,0.156622,8.14249,0.094632,299.0717,0.141464,7.394086,0.2064
25,gen24 samples,157.7101,118.7419,0.156404,8.150639,0.088984,301.3819,0.140541,7.376748,0.1789
26,gen25 samples,158.7773,118.8824,0.156204,8.136168,0.093412,305.0504,0.140707,7.367953,0.1942
27,gen26 samples,153.9874,119.6422,0.156525,8.141163,0.12297,283.4698,0.141333,7.37264,0.2115
28,gen27 samples,152.37,121.0681,0.156849,8.171309,0.133097,280.3635,0.141458,7.411554,0.2141
29,gen28 samples,155.1096,122.4833,0.15583,8.123537,0.109098,290.9115,0.139577,7.328564,0.2019
30,gen29 samples,155.9474,123.8235,0.156502,8.148348,0.102133,287.5804,0.142975,7.493423,0.2241
31,gen30 samples,157.8622,121.6226,0.155462,8.102321,0.122558,301.5805,0.13774,7.211536,0.2214
32,gen31 samples,159.4798,122.3946,0.156141,8.140361,0.115721,305.2461,0.141349,7.414901,0.2363
33,gen32 samples,166.6181,116.1951,0.154757,8.053163,0.091973,338.1577,0.134363,7.038093,0.2211
34,gen33 samples,159.5668,117.3224,0.15623,8.129245,0.088814,308.7029,0.140328,7.326882,0.1916
35,gen34 samples,153.6851,119.664,0.156828,8.163218,0.150808,288.2899,0.142617,7.449446,0.2012
36,gen35 samples,152.9273,119.5086,0.156239,8.133776,0.117024,279.898,0.141786,7.41051,0.2143
37,gen36 samples,159.5695,121.8322,0.156581,8.142561,0.113865,318.601,0.139501,7.30699,0.2385
38,gen37 samples,157.511,122.7901,0.155834,8.114409,0.101791,302.6122,0.13936,7.31703,0.2084
39,gen38 samples,159.8747,123.3817,0.156731,8.168167,0.079309,310.4168,0.143129,7.509207,0.2131
