generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,347.3678,105.0576,0.14523,7.67827,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,379.176,188.5088,0.147513,7.712505,0.041307,502.7711,0.124273,6.591838,0.5955
2,gen1 samples,382.937,201.9847,0.147576,7.702545,0.036589,514.9017,0.123192,6.532166,0.6218
3,gen2 samples,382.381,201.2249,0.147294,7.6944,0.03811,526.9004,0.121116,6.428913,0.6663
4,gen3 samples,379.8276,197.7487,0.147549,7.706286,0.037223,499.6292,0.123843,6.579915,0.6325
5,gen4 samples,379.9536,219.0621,0.148129,7.731894,0.030181,484.1384,0.127467,6.749958,0.6499
6,gen5 samples,382.5551,195.7173,0.147837,7.719767,0.03779,497.7834,0.125322,6.673936,0.6218
7,gen6 samples,384.1677,205.662,0.148242,7.739362,0.03505,503.6378,0.130112,6.895824,0.6558
8,gen7 samples,382.8863,197.7198,0.148014,7.729839,0.036946,501.2931,0.12557,6.694304,0.6264
9,gen8 samples,382.9157,195.482,0.147272,7.687406,0.037738,506.1503,0.12195,6.490696,0.6424
10,gen9 samples,383.6294,195.6066,0.147704,7.709401,0.036709,514.3409,0.124298,6.608395,0.6227
11,gen10 samples,384.3443,197.4759,0.147715,7.709235,0.038071,521.1116,0.12325,6.555984,0.6593
12,gen11 samples,383.0231,198.0551,0.146837,7.674242,0.038519,515.2621,0.118015,6.326893,0.657
13,gen12 samples,383.0087,195.673,0.148039,7.730184,0.037023,512.1946,0.12667,6.746677,0.6403
14,gen13 samples,382.5269,206.5205,0.148311,7.739358,0.035067,492.8725,0.129572,6.90344,0.6425
15,gen14 samples,382.0948,196.1138,0.147279,7.695828,0.03827,519.6009,0.120824,6.421618,0.6574
16,gen15 samples,382.4428,201.9627,0.148019,7.726624,0.035483,494.4388,0.126819,6.744231,0.6444
17,gen16 samples,384.5518,199.7464,0.147916,7.717104,0.044608,517.1487,0.125202,6.636509,0.6316
18,gen17 samples,382.1328,196.3574,0.147815,7.715846,0.037222,517.3772,0.124464,6.607885,0.6479
19,gen18 samples,379.4584,208.5772,0.148127,7.733535,0.02769,485.8215,0.128279,6.792063,0.6387
20,gen19 samples,380.8971,205.3403,0.147718,7.717582,0.034316,476.6898,0.126941,6.800504,0.6722
21,gen20 samples,382.8573,200.2849,0.147811,7.716013,0.036549,499.8118,0.125514,6.675133,0.6467
22,gen21 samples,382.9202,196.8615,0.147988,7.728106,0.036905,510.2578,0.125302,6.673743,0.6266
23,gen22 samples,381.5547,197.952,0.147308,7.696908,0.037818,506.5208,0.120982,6.43464,0.6374
24,gen23 samples,382.0019,197.1311,0.147312,7.691202,0.037837,519.3453,0.121153,6.409141,0.6381
25,gen24 samples,382.6531,198.9356,0.147802,7.710469,0.037081,514.2366,0.125247,6.636931,0.6172
26,gen25 samples,380.3791,214.5355,0.148157,7.733605,0.026965,496.2535,0.127259,6.765552,0.6357
27,gen26 samples,381.9115,197.3203,0.148063,7.731525,0.037262,504.1924,0.126624,6.727019,0.6223
28,gen27 samples,381.194,196.0201,0.147543,7.701214,0.037683,513.5004,0.123793,6.539264,0.6453
29,gen28 samples,382.7512,200.0417,0.147771,7.714295,0.036208,497.4827,0.123966,6.597177,0.6297
30,gen29 samples,382.7746,210.3711,0.148194,7.737161,0.034814,500.4431,0.127075,6.774275,0.6393
31,gen30 samples,382.9662,201.3547,0.148018,7.733048,0.036458,495.8376,0.127211,6.804011,0.6354
32,gen31 samples,383.4611,198.5774,0.147723,7.715951,0.037223,508.8148,0.123899,6.612031,0.6254
33,gen32 samples,382.9168,199.8407,0.147578,7.710437,0.03737,514.6998,0.123771,6.578146,0.6336
34,gen33 samples,382.1487,195.8541,0.147187,7.688627,0.038722,527.1892,0.119871,6.383419,0.6635
35,gen34 samples,383.8417,198.3359,0.147783,7.712532,0.037119,527.3832,0.123428,6.547209,0.6373
36,gen35 samples,383.0624,198.4047,0.147287,7.694518,0.038572,542.6202,0.119834,6.385917,0.6938
37,gen36 samples,382.0631,194.3086,0.14695,7.6778,0.037867,526.3461,0.119809,6.368043,0.6412
38,gen37 samples,384.1355,197.4363,0.147991,7.731525,0.037361,513.9979,0.126598,6.765248,0.6387
39,gen38 samples,383.9962,207.7409,0.14798,7.724568,0.034233,497.4927,0.128589,6.859535,0.6558
