generation,data_source,train_seconds,best_test_neg_elbo,test_recon,test_kl,fid,active_units,feature_variance,real_feature_variance,mean_pairwise_feat_dist,real_mean_pairwise_feat_dist,class_entropy,real_class_entropy,class_kl,pixel_std_mean,real_pixel_std_mean,pixel_mean_l1
0,folder,241.7,-398.5881995239258,-448.14478344726564,49.55658392333984,62.87880325317383,64,30.252122753090966,85.76473594331344,7.5160064697265625,12.631623268127441,1.5049435535401192,2.288500974513306,0.8182565220281305,0.11838176101446152,0.2108895480632782,0.010803379118442535
1,runs/experiment2\gen0\synthetic_data.npz,177.9,-429.5786693725586,-491.5377365722656,61.95906719970703,83.39491271972656,64,18.822932884560075,85.76473594331344,5.925271511077881,12.631623268127441,1.3838756278333657,2.288500974513306,0.9384968057808487,0.09321919083595276,0.2108895480632782,0.016415834426879883
2,runs/experiment2\gen1\synthetic_data.npz,177.8,-378.02071606445315,-446.1900146484375,68.16929858398437,87.67280578613281,64,15.301186585687017,85.76473594331344,5.310426235198975,12.631623268127441,1.4054293601462895,2.288500974513306,0.9003556721287209,0.08634687215089798,0.2108895480632782,0.012835726141929626
3,runs/experiment2\gen2\synthetic_data.npz,177.8,-381.0940739135742,-464.42285913085936,83.32878521728516,108.16944122314453,64,8.473984603140387,85.76473594331344,3.9530839920043945,12.631623268127441,1.2482112875561682,2.288500974513306,1.0574555764330702,0.06673074513673782,0.2108895480632782,0.012892146594822407
4,runs/experiment2\gen3\synthetic_data.npz,177.7,-86.40767801666259,-25.39228939819336,17.665958923339844,115.50089263916016,64,5.908030856354856,85.76473594331344,3.305291175842285,12.631623268127441,0.94879345160036,2.288500974513306,1.273945113162464,0.05485017970204353,0.2108895480632782,0.020512336865067482
5,runs/experiment2\gen4\synthetic_data.npz,178.1,-85.48410083007812,-12.140865692138672,17.69143556213379,112.26942443847656,64,6.935350965685232,85.76473594331344,3.57122540473938,12.631623268127441,1.0487111107562896,2.288500974513306,1.173445626508875,0.061771757900714874,0.2108895480632782,0.018518660217523575
6,runs/experiment2\gen5\synthetic_data.npz,178.1,-84.60837692260742,-18.691513702392577,19.76026428222656,123.61954498291016,64,5.225083070831717,85.76473594331344,3.096698045730591,12.631623268127441,0.8919147476854521,2.288500974513306,1.33354710413133,0.05180216208100319,0.2108895480632782,0.01824858970940113
7,runs/experiment2\gen6\synthetic_data.npz,177.9,-136.8025230102539,-145.49154138183593,53.36654803466797,116.79428100585938,64,5.84733900582496,85.76473594331344,3.2923262119293213,12.631623268127441,1.0742714974962415,2.288500974513306,1.1645644544826135,0.05983690172433853,0.2108895480632782,0.018577510491013527
8,runs/experiment2\gen7\synthetic_data.npz,181.3,-163.71143157958983,-191.3443681640625,55.890292724609374,127.49009704589844,64,3.9185115981365186,85.76473594331344,2.6696245670318604,12.631623268127441,0.6904231110250986,2.288500974513306,1.5430312678458884,0.04892052337527275,0.2108895480632782,0.020533036440610886
9,runs/experiment2\gen8\synthetic_data.npz,182.5,-83.47735108947754,-4.473897247314453,20.652022552490234,128.9374237060547,64,3.6559325371138662,85.76473594331344,2.6017491817474365,12.631623268127441,0.45978159214581193,2.288500974513306,1.7720895943875958,0.04797340929508209,0.2108895480632782,0.02791781537234783
